Timestamp,Elapsed_Sec,RSS_MB,VIRT_MB,Delta_CPU_Pct
20260709_214305,567.16,53.09,114.32,-4.0
20260709_214306,568.17,39.94,82.01,9.0
20260709_214307,569.17,291.72,365.59,89.8
20260709_214308,570.17,92.56,169.8,-91.9
20260709_214309,571.17,236.84,303.13,61.9
20260709_214310,572.17,102.79,173.89,-57.9
20260709_214311,573.17,41.59,77.4,-10.0
20260709_214312,574.18,81.86,145.72,6.0
20260709_214313,575.18,56.32,95.33,-3.0
20260709_214314,576.18,79.59,143.59,2.0
20260709_214315,577.18,53.08,114.32,-4.0
20260709_214316,578.18,113.01,186.27,17.0
20260709_214317,579.18,295.82,367.98,99.9
20260709_214318,580.18,372.96,437.39,100.8
20260709_214319,581.19,45.36,82.02,98.9
20260709_214320,582.19,64.21,146.12,-312.1
20260709_214321,583.19,263.49,335.08,87.7
20260709_214322,584.19,390.53,459.9,99.8
20260709_214323,585.2,420.32,485.69,99.7
20260709_214324,586.2,454.95,518.36,100.7
20260709_214325,587.2,92.34,160.7,-388.3
20260709_214326,588.2,111.39,186.08,9.0
20260709_214327,589.2,331.73,403.17,100.9
20260709_214328,590.21,53.43,114.32,-114.9
